RUNUP_HT,DIST_FROM_SOURCE,CAUSE_CODE,TS_INTENSITY,DAMAGE_AMOUNT_ORDER
,50,0,,1
3.5,176,0,,1
,231,0,,1
,139,0,,1
,38,0,,1
,88,0,,1
,245,0,,1
,14,0,,1
,26,0,,1
9,53,0,,1
,74,0,,1
,115,0,,1
,64,0,,1
,348,0,,1
,6,0,,1
1.5,149,0,,1
,229,0,,1
,75,0,,1
,123,0,,1
,105,0,,1
,199,0,,1
,203,0,,1
,140,0,,1
3,233,0,,1
5.7,447,0,,1
,163,0,,1
,125,0,,1
,117,0,,1
5,174,0,,1
6.1,390,0,,1
4.8,488,0,,1
,327,0,,1
,168,0,,1
,36,0,,1
1,121,0,,1
3.4,41,0,,1
2,58,0,,1
,1,0,,1
,15,0,,1
,76,0,,1
1,8,0,,1
,10621,0,,1
9,22,0,,1
9,15,0,3,1
6,10779,0,,1
2.5,11112,0,,1
5,3,0,,1
3,151,0,,1
6,57,0,,1
,7467,0,,1
1,0,0,1,1
,57,0,1,1
,66,0,1,1
,72,0,1,1
4.6,136,0,,1
,64,0,1,1
8.2,73,0,1,1
,,0,1,1
12,104,0,1,1
10.5,88,0,1,1
,15031,0,1,1
1.2,93,0,1,1
1.5,304,0,1,1
1.52,7801,0,1,1
2.4,6164,0,1,1
3.3,6115,0,,1
3.6,6165,0,1,1
5.3,6106,0,1,1
3,6090,0,1,1
2.6,6079,0,1,1
5.5,6098,0,,1
5.3,6107,0,1,1
1.5,5658,0,1,1
3,,0,,1
3,,0,,1
3.6,,0,,1
3,,0,1,1
9.14,85,0,,1
,,0,,1
,,0,1,1
,,0,1,1
,,0,1,1
,0,0,,1
,32,0,,1
,31,0,,1
,1055,0,,1
3,1866,0,,1
7.5,1263,0,,1
,138,0,,1
4,2022,0,1,1
4,2013,0,,1
1.8,10290,0,,1
,10269,0,,1
,10109,0,,1
4,10545,0,,1
2.5,10500,0,,1
12,213,0,,1
,1454,0,,1
9,338,0,1,1
1.5,735,0,1,1
5,543,0,1,1
10,63,0,1,1
3,1707,0,,1
4.2,10271,0,1,1
3.7,10271,0,1,1
4.8,10271,0,1,1
2.4,16336,0,1,1
