RUNUP_HT,DIST_FROM_SOURCE,CAUSE_CODE,TS_INTENSITY,DAMAGE_AMOUNT_ORDER
0.07,13057,0,1,1
0.09,13972,0,1,1
0.05,11641,0,1,1
0.11,14340,0,1,1
0.08,11514,0,1,1
0.09,13413,0,1,1
0.21,10873,0,1,1
0.07,14076,0,1,1
0.16,17079,0,1,1
0.05,9746,0,1,1
0.05,9376,0,1,1
0.32,9741,0,1,1
0.21,9429,0,1,1
0.07,9593,0,1,1
0.22,8626,0,1,1
0.11,9438,0,1,1
0.25,9407,0,1,1
0.03,11354,0,1,1
0.35,6240,0,1,1
0.1,16758,0,1,1
0.06,17436,0,1,1
0.1,12604,0,1,1
0.04,14146,0,1,1
0.09,9728,0,1,1
0.08,8907,0,1,1
0.55,93,0,1,1
0.1,141,0,1,1
1.77,64,0,1,1
,266,0,1,1
,314,0,1,1
,314,0,1,1
,356,0,1,1
,479,0,1,1
,4436,0,1,1
,68,0,1,1
6.41,182,0,1,1
6.33,183,0,1,1
6.04,182,0,1,1
6.33,182,0,1,1
5.72,148,0,1,1
3.89,147,0,1,1
3.84,147,0,1,1
4.51,147,0,1,1
3.26,155,0,1,1
2.43,155,0,1,1
2.96,155,0,1,1
2.61,160,0,1,1
3.07,239,0,1,1
2.5,220,0,1,1
4.36,181,0,1,1
4.96,141,0,1,1
4.57,47,0,1,1
5.47,92,0,1,1
4.84,93,0,1,1
3.03,94,0,1,1
4.79,141,0,1,1
6.09,141,0,1,1
4.77,141,0,1,1
4.84,141,0,1,1
5.76,141,0,1,1
5.48,142,0,1,1
5.19,142,0,1,1
5.25,142,0,1,1
4.76,142,0,1,1
2.98,196,0,1,1
2.71,179,0,1,1
3.85,179,0,1,1
4.62,181,0,1,1
5.47,183,0,1,1
2.7,259,0,1,1
3.21,259,0,1,1
1.83,349,0,1,1
1.39,590,0,1,1
1.39,590,0,1,1
1.38,590,0,1,1
3.86,41,0,1,1
3.76,41,0,1,1
3.75,41,0,1,1
5.04,41,0,1,1
5.71,183,0,1,1
6.37,182,0,1,1
5.86,182,0,1,1
6.52,183,0,1,1
6.02,182,0,1,1
6.44,182,0,1,1
6.38,182,0,1,1
6.42,182,0,1,1
6.15,182,0,1,1
3.6,184,0,1,1
3.69,184,0,1,1
4.01,147,0,1,1
3.68,147,0,1,1
3.97,147,0,1,1
3.9,147,0,1,1
4.39,147,0,1,1
4,147,0,1,1
3,18,0,1,1
3.31,189,0,1,1
3.06,187,0,1,1
3.12,180,0,1,1
3.28,141,0,1,1
4.71,47,0,1,1
5.09,142,0,1,1
4.12,142,0,1,1
3.09,179,0,1,1
4.92,181,0,1,1
4.5,183,0,1,1
5.25,183,0,1,1
4.97,183,0,1,1
4.19,183,0,1,1
2.59,151,0,1,1
3.46,151,0,1,1
3.46,151,0,1,1
3.43,151,0,1,1
3.25,151,0,1,1
2.14,151,0,1,1
3.5,41,0,1,1
3.84,40,0,1,1
4.13,40,0,1,1
3.38,41,0,1,1
4.13,41,0,1,1
0.01,1986,0,1,1
0.01,2815,0,1,1
0.05,803,0,1,1
0.05,845,0,1,1
0.08,675,0,1,1
0.09,1390,0,1,1
,2400,0,1,1
,2525,0,1,1
,2687,0,1,1
,3726,0,1,1
0.02,1204,0,1,1
0.21,726,0,1,1
0.15,134,0,1,1
0.2,304,0,1,1
,1475,0,1,1
0.8,3781,0,1,1
,5,0,1,1
0.25,356,0,1,1
0.23,139,0,1,1
0.17,344,0,1,1
0.24,329,0,1,1
0.25,127,0,1,1
0.14,299,0,1,1
0.1,1136,0,1,1
,182,0,1,1
,148,0,1,1
,142,0,1,1
3.2,274,0,1,1
3.1,274,0,1,1
3,274,0,1,1
2.7,259,0,1,1
3.1,259,0,1,1
3.6,259,0,1,1
3.8,258,0,1,1
5.2,254,0,1,1
3.2,254,0,1,1
6.8,254,0,1,1
2.6,239,0,1,1
3.2,239,0,1,1
2.6,239,0,1,1
2.9,236,0,1,1
3,236,0,1,1
3.3,234,0,1,1
2,234,0,1,1
3.2,234,0,1,1
6.6,222,0,1,1
4.7,220,0,1,1
2,198,0,1,1
2.6,198,0,1,1
5.8,198,0,1,1
5.3,198,0,1,1
4.2,198,0,1,1
2.9,192,0,1,1
2.3,192,0,1,1
1.7,189,0,1,1
2.9,189,0,1,1
3,187,0,1,1
3.4,186,0,1,1
3,184,0,1,1
1.9,184,0,1,1
1.4,184,0,1,1
4.3,183,0,1,1
4.4,182,0,1,1
5.8,182,0,1,1
3.6,182,0,1,1
7.5,180,0,1,1
3.5,183,0,1,1
3.5,180,0,1,1
3.4,179,0,1,1
0.6,169,0,1,1
2.6,169,0,1,1
4,169,0,1,1
4.8,161,0,1,1
4.9,155,0,1,1
3.3,155,0,1,1
1.9,149,0,1,1
2.9,147,0,1,1
9,147,0,1,1
3.9,148,0,1,1
2.7,148,0,1,1
4.6,148,0,1,1
3.9,147,0,1,1
5.5,147,0,1,1
2.8,147,0,1,1
1.8,146,0,1,1
1.8,145,0,1,1
2.9,143,0,1,1
1.1,142,0,1,1
3.3,141,0,1,1
5.9,142,0,1,1
5.5,142,0,1,1
3.8,142,0,1,1
4.4,143,0,1,1
4.3,144,0,1,1
4.4,144,0,1,1
4.1,144,0,1,1
3.4,145,0,1,1
3.9,145,0,1,1
3.8,145,0,1,1
8.1,146,0,1,1
4.6,145,0,1,1
13.6,67,0,1,1
4.2,66,0,1,1
12.8,63,0,1,1
2.8,63,0,1,1
7,47,0,1,1
5.3,18,0,1,1
3.2,18,0,1,1
3.4,18,0,1,1
2.7,25,0,1,1
5.7,25,0,1,1
5.8,26,0,1,1
2.9,35,0,1,1
1.5,36,0,1,1
3.7,37,0,1,1
0.7,37,0,1,1
4.5,37,0,1,1
3.3,38,0,1,1
5,38,0,1,1
3.3,38,0,1,1
2.3,40,0,1,1
2.6,41,0,1,1
3.4,41,0,1,1
4.2,40,0,1,1
9.3,41,0,1,1
3.5,44,0,1,1
2,64,0,1,1
2.5,64,0,1,1
5,64,0,1,1
1.9,76,0,1,1
1.8,76,0,1,1
1.8,75,0,1,1
4.3,81,0,1,1
0.9,97,0,1,1
2.5,106,0,1,1
0.8,106,0,1,1
2.8,106,0,1,1
2.2,111,0,1,1
2.6,111,0,1,1
2.1,114,0,1,1
1.1,115,0,1,1
3,120,0,1,1
2.9,121,0,1,1
2.3,122,0,1,1
2.5,128,0,1,1
2.2,131,0,1,1
3,132,0,1,1
1,135,0,1,1
1.9,135,0,1,1
2.3,140,0,1,1
3.4,140,0,1,1
1.6,140,0,1,1
0.9,147,0,1,1
2.8,147,0,1,1
1.5,146,0,1,1
3.9,148,0,1,1
3,151,0,1,1
2.7,155,0,1,1
2.7,156,0,1,1
2.5,159,0,1,1
2.4,160,0,1,1
2.2,161,0,1,1
2.7,162,0,1,1
2.9,162,0,1,1
1.9,179,0,1,1
1.7,180,0,1,1
2.3,199,0,1,1
1.6,199,0,1,1
3,210,0,1,1
2.5,220,0,1,1
4.3,228,0,1,1
1.7,242,0,1,1
1.9,243,0,1,1
1.5,243,0,1,1
1.8,243,0,1,1
2.8,243,0,1,1
0.8,244,0,1,1
2.3,244,0,1,1
1.5,244,0,1,1
0.4,189,0,1,1
,221,0,1,1
,221,0,1,1
,189,0,1,1
3.9,2010,0,1,1
4.7,577,0,1,1
3.8,995,0,1,1
3.5,1016,0,1,1
1.7,1017,0,1,1
2,1015,0,1,1
3.4,1019,0,1,1
3.1,1020,0,1,1
3.2,974,0,1,1
10,990,0,1,1
2.7,986,0,1,1
2.4,987,0,1,1
3.8,995,0,1,1
2.5,1055,0,1,1
2.9,1041,0,1,1
7.4,833,0,1,1
13.9,886,0,1,1
17.3,886,0,1,1
10.9,891,0,1,1
8,892,0,1,1
8.6,892,0,1,1
6.8,892,0,1,1
10.5,894,0,1,1
15,894,0,1,1
13.9,886,0,1,1
10.4,886,0,1,1
13.1,885,0,1,1
13.1,2014,0,1,1
13.1,2014,0,1,1
13.1,2012,0,1,1
13.1,2012,0,1,1
13.1,2011,0,1,1
13.1,2009,0,1,1
13.1,2007,0,1,1
13.1,2005,0,1,1
13.1,2008,0,1,1
13.1,2004,0,1,1
13.1,2004,0,1,1
13.1,2000,0,1,1
2.23,1975,0,1,1
2.23,1937,0,1,1
2.23,2093,0,1,1
2.23,2128,0,1,1
2.23,2100,0,1,1
2.23,2025,0,1,1
2.27,2026,0,1,1
2.76,2024,0,1,1
2.9,2043,0,1,1
2.97,1976,0,1,1
3.08,2031,0,1,1
3.12,2041,0,1,1
3.16,2032,0,1,1
